RPL36A,,,,,GSTP1,,,,,ACBD4,,CD44,TSEN54,,,,,
RPL32,,,,,CD37,,,,,GIMAP4,,RPS25,SON,,,,,
RPS29,,,,,S100A9,,,,,INPP4B,,EEF1A1,NKG7,,,,,
CD83,,,,,MS4A6A,,,,,RPS12,,PFN1,SLC35E1,,,,,
TMEM156,,,,,RAB31,,,,,RPS15,,DDX24,TMEM123,,,,,
DTNB,,,,,IFI30,,,,,THEM4,,NDUFA4,PIK3IP1,,,,,
PPP1R2,,,,,CYBB,,,,,RPS14,,ZFP36L2,FOXP1,,,,,
POU2F2,,,,,TNFSF13B,,,,,IL6ST,,LITAF,DGKA,,,,,
RPS24,,,,,RHOG,,,,,PRMT2,,,AIF1,,,,,
SNX22,,,,,LCP1,,,,,ABLIM1,,,R3HDM4,,,,,
RPS15A,,,,,S100A4,,,,,RAPGEF6,,,HAUS3,,,,,
WDR74,,,,,FXYD5,,,,,IFITM1,,,THAP7,,,,,
CARD16,,,,,FTL,,,,,TBC1D5,,,CDC42SE2,,,,,
RALGPS2,,,,,SPI1,,,,,GPSM3,,,TOB1,,,,,
RPL19,,,,,ATP6V1F,,,,,ARFRP1,,,SKAP1,,,,,
RPL18,,,,,TGFBI,,,,,IDUA,,,WDR43,,,,,
RPS23,,,,,PKM,,,,,RPS3A,,,MYO1G,,,,,
CD37,,,,,CD48,,,,,DIDO1,,,RNMT,,,,,
LY86,,,,,CD74,,,,,PRKCA,,,OXNAD1,,,,,
GTF3A,,,,,COX5B,,,,,NUP50,,,BUD31,,,,,
RPL3,,,,,NAP1L1,,,,,RPL32,,,RCAN3,,,,,
HLA-A,,,,,BLOC1S1,,,,,PIK3IP1,,,TRABD2A,,,,,
RPL6,,,,,LSP1,,,,,RPS29,,,HLA-A,,,,,
TBC1D10C,,,,,PGK1,,,,,RNF216,,,TBC1D10C,,,,,
RPL23A,,,,,HLA-DQB1,,,,,UTP20,,,BEX4,,,,,
TNFSF13B,,,,,GRB2,,,,,SH2B1,,,FAM117B,,,,,
RPLP1,,,,,ACTB,,,,,GLG1,,,RPL23A,,,,,
PLEKHF2,,,,,CTSD,,,,,ZNF263,,,CWF19L1,,,,,
SNX2,,,,,MT2A,,,,,DGKA,,,TUBA4A,,,,,
LIMD2,,,,,RNASET2,,,,,HAUS3,,,S100A4,,,,,
SELL,,,,,CD44,,,,,SLTM,,,UBQLN2,,,,,
TMEM243,,,,,PFN1,,,,,ZNF264,,,ATM,,,,,
CD48,,,,,VMP1,,,,,ATXN7,,,RASAL3,,,,,
RPL34,,,,,HNRNPU,,,,,MT1E,,,EIF3E,,,,,
CD74,,,,,CFD,,,,,TEX264,,,SS18L2,,,,,
RPL35A,,,,,MNDA,,,,,RPS15A,,,JOSD1,,,,,
PTPRC,,,,,TALDO1,,,,,RPL19,,,SELL,,,,,
CD69,,,,,LITAF,,,,,OXNAD1,,,APMAP,,,,,
BCL7A,,,,,LGALS3,,,,,SELPLG,,,LDLRAP1,,,,,
ERP29,,,,,,,,,,RPL18,,,TOMM7,,,,,
S1PR4,,,,,,,,,,RCAN3,,,S1PR4,,,,,
HLA-DQB1,,,,,,,,,,RPS23,,,CD69,,,,,
RPL18A,,,,,,,,,,SVIL,,,ITFG2,,,,,
FAS,,,,,,,,,,COQ6,,,CD4,,,,,
RNASET2,,,,,,,,,,SETD5,,,FKBP5,,,,,
BCL6,,,,,,,,,,RPL3,,,LSP1,,,,,
RPL23,,,,,,,,,,TMC8,,,SYNE1,,,,,
RPL21,,,,,,,,,,TRABD2A,,,STAT4,,,,,
RPLP2,,,,,,,,,,RPL6,,,GNG2,,,,,
RPL14,,,,,,,,,,GIMAP6,,,CGRRF1,,,,,
RPL5,,,,,,,,,,FAM117B,,,SLFN5,,,,,
PAIP2,,,,,,,,,,RPL23A,,,RAP1B,,,,,
QRSL1,,,,,,,,,,RPLP1,,,PCIF1,,,,,
RPS25,,,,,,,,,,FAM193B,,,NOSIP,,,,,
RPL7A,,,,,,,,,,CASP8,,,CD55,,,,,
EEF1A1,,,,,,,,,,RPL10A,,,PFN1,,,,,
OSTF1,,,,,,,,,,KDM3A,,,SPTBN1,,,,,
PMAIP1,,,,,,,,,,LIMD2,,,APEX1,,,,,
RPL22,,,,,,,,,,SELL,,,DDX24,,,,,
IRF8,,,,,,,,,,TATDN2,,,RPP38,,,,,
,,,,,,,,,,PIM2,,,RNF7,,,,,
,,,,,,,,,,LDLRAP1,,,NDUFA4,,,,,
,,,,,,,,,,RPL34,,,ARL4C,,,,,
,,,,,,,,,,RPL35A,,,SPON2,,,,,
,,,,,,,,,,RPLP0,,,CEP68,,,,,
