group,index
10,ZNF394
11,GZMB
11,CEP78
11,LYAR
11,VCL
11,TAGLN2
11,PIP4K2A
11,RPS27
11,MBP
11,SYNE2
11,CMC1
11,GNLY
11,CXCR4
11,CD300A
11,TTC38
11,RAP2B
11,SH3BP5
11,SLC2A1
11,GLUL
11,LLGL2
11,RPL30
11,RASSF1
11,IL15RA
11,DUSP2
11,PRR5
11,GAB3
11,ADRB2
11,LILRB1
11,FYN
11,PRDM1
11,IL2RG
11,SLC9A3R1
11,RNF166
11,GK5
11,PRKCB
11,ZNF600
11,CAPN2
11,PARP8
11,OSBPL5
11,AHNAK
11,CCL5
11,FGR
11,ITGAM
11,LPCAT1
11,ZEB2
11,CYTH3
11,KCNAB2
11,RPS14
11,EFHD2
11,PLEK
11,TPST2
11,DSTN
11,MYO1F
11,MTSS1
11,RPS29
11,LGALS1
11,PLEKHA5
11,CDC42SE2
11,EMP3
11,PXN
11,RGS19
11,MYO1G
11,ADAM8
11,RPL23A
11,SRPK2
11,FUT11
11,BIN2
11,CASP8
11,FLNA
11,WDR37
11,USP28
11,RPL31
11,SYNE1
11,PIK3R5
11,FCGR3A
11,RAP1GAP2
11,RAP1B
11,STK10
11,CD44
11,RPS25
11,ARL4C
11,SPON2
11,AGTPBP1
11,VEZF1
11,LITAF
12,GZMB
12,RPS5
12,TAGLN2
12,ACAP1
12,CD7
12,APOBEC3G
12,RPL13A
12,ANXA6
12,EEF1D
12,RPS27
12,RPS16
12,CD52
12,EEF2
12,RPS13
12,RPS19
12,CXCR4
12,RGS1
12,EEF1B2
12,RPL12
12,RPS8
12,ETS1
12,RPL37
12,NDUFA1
12,RPL35
12,RPS3
12,RPL27
12,HLA-F
12,RPL27A
12,RPL37A
12,IRF1
12,CD53
12,PPP2R5C
12,HIGD2A
12,CST7
12,ICAM3
12,RPS20
12,RPL28
12,ANKRD12
12,RPL30
12,RPL13
12,CTSW
12,NPM1
12,RPS6
12,DUSP2
12,RPL11
12,RPL38
12,CALM1
12,COX4I1
12,RPL39
12,FYN
12,HCST
12,RPL41
12,RPS7
12,IL2RG
12,B2M
12,RPS21
12,LDHB
12,TXNIP
12,RPS2
12,GIMAP7
12,ITGB2
12,RPL4
12,RPL24
12,RPL15
12,LEPROTL1
12,PRKCH
12,RPL10
12,RPS27A
12,RPL8
12,RPL26
12,NDUFS5
12,RPL36
12,RPL7
12,RPL29
12,CCL5
12,ISG20
12,RPS12
12,RPS15
12,RPS14
12,IFITM1
12,MYL12A
12,GPSM3
12,SON
12,RPS3A
12,NKG7
12,RPL32
12,RPS29
12,LGALS1
12,JUN
