PAIP2,,,,,IFI30,,,,,NUP50,VCL,RPL29,LDLRAP1,,RPS16,,,
PAPOLA,,,,,IFITM3,,,,,OXNAD1,VEZF1,RPL3,LSP1,,RPS19,,,
PFDN5,,,,,ITGB2,,,,,PACS1,WDR37,RPL30,LYAR,,RPS2,,,
PLAC8,,,,,LAMTOR1,,,,,PARP11,ZEB2,RPL31,MAML2,,RPS20,,,
PLCG2,,,,,LAPTM5,,,,,PASK,ZNF600,RPL32,MAN1C1,,RPS21,,,
PLEKHF2,,,,,LCP1,,,,,PCED1B,,RPL34,MBP,,RPS23,,,
PMAIP1,,,,,LGALS1,,,,,PHF1,,RPL35,MED31,,RPS25,,,
POLD4,,,,,LGALS3,,,,,PHF20L1,,RPL35A,MLXIP,,RPS27,,,
POU2F2,,,,,LITAF,,,,,PIK3IP1,,RPL36,MYC,,RPS27A,,,
PPP1R2,,,,,LRRFIP1,,,,,PIM1,,RPL37,MYL12A,,RPS29,,,
PTPRC,,,,,LSP1,,,,,PIM2,,RPL37A,MYO1G,,RPS3,,,
PTPRC,,,,,LST1,,,,,PLCG1,,RPL38,NDFIP1,,RPS3A,,,
QRSL1,,,,,LYN,,,,,POLR3E,,RPL39,NDUFA1,,RPS5,,,
RAC2,,,,,LYZ,,,,,POP5,,RPL4,NDUFA4,,RPS6,,,
RALGPS2,,,,,MAFB,,,,,PRKCA,,RPL41,NDUFS5,,RPS7,,,
RASGRP2,,,,,MCL1,,,,,PRMT2,,RPL5,NGDN,,RPS8,,,
RHOH,,,,,MNDA,,,,,PRMT3,,RPL6,NKG7,,S100A4,,,
RNASET2,,,,,MS4A6A,,,,,RAB3GAP1,,RPL7,NKTR,,SON,,,
RPL10,,,,,MS4A7,,,,,RAPGEF6,,RPL8,NOSIP,,TAGLN2,,,
RPL11,,,,,MT2A,,,,,RBL2,,RPLP0,NPAT,,TOMM7,,,
RPL12,,,,,NACA,,,,,RBMS1,,RPLP1,NPM1,,ZFP36L2,,,
RPL13,,,,,NAMPT,,,,,RCAN3,,RPLP2,OPTN,,,,,
RPL13A,,,,,NAP1L1,,,,,REV1,,RPS12,OXNAD1,,,,,
RPL14,,,,,NCF2,,,,,RNF216,,RPS13,PASK,,,,,
RPL15,,,,,NFKBIA,,,,,RNPEPL1,,RPS14,PCIF1,,,,,
RPL18,,,,,NPC2,,,,,RPA3,,RPS15,PDK1,,,,,
RPL18A,,,,,PABPC1,,,,,RPAP2,,RPS15A,PFN1,,,,,
RPL19,,,,,PFN1,,,,,RPL10,,RPS16,PIK3IP1,,,,,
RPL21,,,,,PGK1,,,,,RPL10A,,RPS19,PIP4K2A,,,,,
RPL22,,,,,PKM,,,,,RPL11,,RPS2,PLEKHB1,,,,,
RPL23,,,,,PLAUR,,,,,RPL12,,RPS20,PPP2R5C,,,,,
RPL23A,,,,,PLEK,,,,,RPL13,,RPS21,PRDM1,,,,,
RPL26,,,,,PPT1,,,,,RPL13A,,RPS23,PRKACB,,,,,
