B cells,cDC cells,Endothelial cells,Fibroblasts,Macrophages M1,Macrophages M2,Mast cells,Monocytes,Myofibroblasts,NK cells,pDC cells,Plasma cells,T CD4 naive cells,T CD4 effector cells,T CD8 central memory cells,T CD8 effector cells,T CD8 effector memory cells,T CD8 exhausted cells,T CD8 naive cells,Tfh cells,Tprolifs,Th1 cells,Th17 cells,Th2 cells,Tregs,MAIT,T CD4 conventional cells
C1orf56,SLCO5A1,PTPRC,DPT,IL6,ENG,HSPA6,TALDO1,PSTPIP1,CD74,GPR183,DERL3,NELL2,,,,FCRL6,IRF4,FAM102A,MYO6,,SYNGR3,,H4C12,ICOS,TGFBR3,CD52
CALHM6,SOCS2,ICAM1,ELN,IL7R,FCER2,IL4,NAMPT,COL12A1,CD79B,TXN,DNAAF1,NOSIP,,,,FGFBP2,TIGIT,FAM117B,MYO7A,,BTG3,,PASK,PDCD1,EMP3,
CALR,THBD,ITGB3,F3,IRF1,FUT4,ITGA9,SERP1,CXCL14,CD8A,SSR4,DNAJB9,PDCD1,,,,FGR,HSPB1,FKBP5,PASK,,DOK5,,CHI3L2,CD28,CASP8,
CARD16,WDFY4,SELP,FAP,IRF5,ITGAM,KIT,LGALS1,LXN,CD8B,PARK7,DPEP1,PECAM1,,,,FLNA,GIMAP6,FOXP1,PDCD1,,LRRN3,,B3GAT1,NRP1,BIN2,
CASP4,XCR1,SELPE,FBLN1,MARCO,JUN,LINC01140,RGS2,LTBP2,CD96,TGFBI,DTNB-AS1,PRKCA,,,,FUT11,CXCR6,GAS5,POMT1,,DGKI,,TSHR,PECAM1,RAP1GAP2,
CCDC32,BTLA,SELPP,FBLN5,NFKB1,LILRA4,MAOB,CSTA,ROBO1,CDC5L,CCDC50,ELL2,RPS5,,,,GAB3,HSPH1,GCSAM,PTPN13,,ATP9A,,PVALB,TNFRSF18,CXCR4,
CCL21,C1orf54,CD81,FBN1,NOS2,MRC1,MLPH,TPT1,WDR91,CHST12,EMP3,ERLEC1,RSL1D1,,,,GK5,HAVCR2,GIMAP2,PVALB,,ZBTB32,,CXCR5,ENTPD1,CD44,
CCR6,CADM1,CD9,FGF7,NOX1,MSR1,MPO,PSME2,CCDC68,CHST2,HERPUD1,FCRL5,S1PR1,,,,GLUL,PDCD1,GPR155,SH3TC1,,IL22,,MAGEH1,CD3D,CD3E,
CCR7,CCL19,CD93,FHL2,PTGS2,PPARG,MS4A2,PLEK,ANGPTL6,CLIC3,C12orf75,FKBP11,SATB1,,,,GNLY,TIGIT,GPR183,SIRPG,,CMAHP,,SMAD1,CD3E,CD4,
CCR9,CCL22,CDH1,FSP1,ROS1,TGM2,NGF,CYBA,COL3A1,CR2,NUCB2,FKBP2,SELL,,,,GZMB,CD3E,GZMB,SLC7A10,,EGFL6,,CDK5R1,CD4,GZMK,
