ligand,receptor,species
SST,GRM7,Human
WNT4,FZD8,Human
WNT4,FZD2,Human
WNT4,FZD6,Human
ACE,BDKRB2,Human
ACE,AGTR2,Human
AGRP,MC4R,Human
AGRP,MC5R,Human
AGRP,SDC3,Human
PIP,AQP5,Human
CALM3,KCNQ3,Human
CALM3,KCNQ5,Human
CALM3,ESR1,Human
CALM3,GRM7,Human
CALM3,MYLK,Human
CALM3,PDE1A,Human
CALM3,INSR,Human
CALM3,RYR2,Human
CALM3,PDE1C,Human
CALM3,GP6,Human
CALM3,SCN10A,Human
CALM3,AQP6,Human
CALM3,GRM5,Human
CALM3,MYLK2,Human
CALM3,AR,Human
CALM3,AQP1,Human
CALM3,SCN4A,Human
TFF2,MUC6,Human
TFF1,MUC5AC,Human
S100B,ALCAM,Human
S100B,AGER,Human
S100A1,TRPM3,Human
S100A1,RYR2,Human
S100A1,RYR1,Human
S100A1,TLR4,Human
S100A1,AGER,Human
SCGB3A1,MARCO,Human
HCRT,HCRTR1,Human
HCRT,NPFFR2,Human
HCRT,HCRTR2,Human
SHANK1,ADGRB2,Human
SHANK1,ABCA1,Human
SHANK1,SSTR2,Human
SHANK1,ADGRL2,Human
SHANK1,ADGRL1,Human
WNT1,RYK,Human
WNT1,ROR2,Human
WNT1,LRP5,Human
WNT1,FZD9,Human
WNT1,FZD3,Human
WNT1,FZD8,Human
WNT1,FZD5,Human
CXCL16,GRM7,Human
CXCL16,MTNR1A,Human
CXCL16,CXCR6,Human
TNFSF12,TNFRSF25,Human
TNFSF12,TNFRSF12A,Human
FGF11,FGFR2,Human
FGF11,FGFR1,Human
FGF11,FGFR3,Human
NTN3,NEO1,Human
NTN3,CDON,Human
FGF19,FGFR2,Human
FGF19,FGFR1,Human
